num decayed parameter tensors: 39, with 27,803,136 parameters
num non-decayed parameter tensors: 22, with 11,776 parameters
using fused AdamW: True
step 410: loss 0.9920, 1.127s
step 420: loss 0.9836, 1.067s
step 430: loss 0.9818, 0.983s
step 440: loss 0.9910, 0.839s
step 450: loss 0.9748, 1.026s
step 460: loss 0.9270, 1.191s
step 470: loss 0.9113, 1.081s
step 480: loss 0.9173, 1.180s
step 490: loss 0.8949, 1.233s
step 500: loss 0.8999, 1.179s
step 500: train 0.8674, val 0.8694, accuracy 0.687
step 510: loss 0.8862, 1.088s
step 520: loss 0.8782, 1.057s
step 530: loss 0.8901, 1.051s
step 540: loss 0.8461, 1.165s
step 550: loss 0.8587, 1.143s
step 560: loss 0.8406, 1.160s
step 570: loss 0.8366, 1.105s
step 580: loss 0.8206, 1.054s
step 590: loss 0.8110, 0.957s
step 600: loss 0.8095, 1.068s
step 610: loss 0.7991, 1.149s
step 620: loss 0.7981, 1.010s
step 630: loss 0.7951, 1.097s
step 640: loss 0.7926, 1.149s
step 650: loss 0.7631, 0.923s
step 660: loss 0.7505, 1.199s
step 670: loss 0.7603, 1.009s
step 680: loss 0.7529, 1.104s
step 690: loss 0.7431, 1.087s
step 700: loss 0.7349, 0.960s
step 710: loss 0.7330, 1.040s
step 720: loss 0.7352, 0.950s
step 730: loss 0.7180, 1.019s
step 740: loss 0.7176, 0.995s
step 750: loss 0.7019, 1.128s
step 760: loss 0.7048, 1.006s
step 770: loss 0.6809, 1.026s
step 780: loss 0.6777, 1.147s
step 790: loss 0.6906, 1.146s
step 800: loss 0.6852, 1.150s
step 810: loss 0.6792, 1.122s
step 820: loss 0.6537, 1.198s
step 830: loss 0.6575, 1.068s
step 840: loss 0.6630, 1.023s
step 850: loss 0.6316, 1.025s
step 860: loss 0.6571, 1.146s
step 870: loss 0.6291, 0.990s
step 880: loss 0.6268, 1.077s
step 890: loss 0.6308, 1.023s
step 900: loss 0.6177, 1.100s
step 910: loss 0.6227, 0.996s
step 920: loss 0.6212, 1.096s
step 930: loss 0.6007, 1.027s
step 940: loss 0.6012, 1.067s
step 950: loss 0.5937, 0.987s
step 960: loss 0.6170, 1.082s
step 970: loss 0.6007, 1.117s
step 980: loss 0.5787, 1.090s
step 990: loss 0.5878, 1.177s
step 1000: loss 0.5990, 0.943s
step 1000: train 0.5739, val 0.5693, accuracy 0.794
step 1010: loss 0.5849, 1.104s
step 1020: loss 0.5726, 1.152s
step 1030: loss 0.5919, 1.024s
step 1040: loss 0.5918, 0.973s
step 1050: loss 0.6365, 1.318s
step 1060: loss 0.5927, 0.949s
step 1070: loss 0.5726, 1.091s
step 1080: loss 0.5633, 1.228s
step 1090: loss 0.5593, 1.129s
step 1100: loss 0.5641, 1.090s
step 1110: loss 0.5710, 1.082s
step 1120: loss 0.5731, 1.115s
step 1130: loss 0.5711, 1.065s
step 1140: loss 0.5606, 1.030s
step 1150: loss 0.5513, 1.089s
step 1160: loss 0.5594, 1.061s
step 1170: loss 0.5517, 1.035s
step 1180: loss 0.5445, 1.117s
step 1190: loss 0.5510, 1.068s
step 1200: loss 0.5516, 0.922s
step 1210: loss 0.5359, 1.216s
step 1220: loss 0.5378, 1.140s
step 1230: loss 0.5405, 1.193s
step 1240: loss 0.5352, 1.027s
step 1250: loss 0.5336, 0.999s
step 1260: loss 0.5439, 1.065s
step 1270: loss 0.5392, 1.238s
step 1280: loss 0.5275, 0.987s
step 1290: loss 0.5291, 1.147s
step 1300: loss 0.5299, 1.075s
step 1310: loss 0.5240, 1.347s
step 1320: loss 0.5289, 1.096s
step 1330: loss 0.5347, 1.039s
step 1340: loss 0.5202, 1.120s
step 1350: loss 0.5148, 1.154s
step 1360: loss 0.5133, 1.068s
step 1370: loss 0.5199, 1.046s
step 1380: loss 0.5182, 1.102s
step 1390: loss 0.5222, 1.074s
step 1400: loss 0.4983, 1.114s
step 1410: loss 0.5132, 1.085s
step 1420: loss 0.5202, 0.910s
step 1430: loss 0.5097, 0.999s
step 1440: loss 0.4997, 1.160s
step 1450: loss 0.5064, 1.061s
step 1460: loss 0.5105, 1.126s
step 1470: loss 0.5166, 1.096s
step 1480: loss 0.5026, 1.165s
step 1490: loss 0.5126, 1.094s
step 1500: loss 0.4965, 1.138s
step 1500: train 0.4944, val 0.4905, accuracy 0.821
step 1510: loss 0.4956, 1.053s
step 1520: loss 0.4974, 1.074s
step 1530: loss 0.4699, 1.281s
step 1540: loss 0.4951, 1.203s
step 1550: loss 0.4922, 1.005s
step 1560: loss 0.4961, 1.103s
step 1570: loss 0.5059, 0.944s
step 1580: loss 0.4996, 1.052s
step 1590: loss 0.4947, 1.259s
step 1600: loss 0.4858, 1.111s
step 1610: loss 0.4849, 1.117s
step 1620: loss 0.4881, 1.162s
step 1630: loss 0.4891, 0.870s
step 1640: loss 0.4874, 0.998s
step 1650: loss 0.4814, 1.195s
step 1660: loss 0.4800, 1.190s
step 1670: loss 0.4772, 1.089s
step 1680: loss 0.4788, 1.118s
step 1690: loss 0.4900, 1.089s
step 1700: loss 0.4828, 1.127s
step 1710: loss 0.4757, 1.207s
step 1720: loss 0.4813, 0.932s
step 1730: loss 0.4702, 1.041s
step 1740: loss 0.4737, 1.144s
step 1750: loss 0.4977, 0.991s
step 1760: loss 0.4756, 1.249s
step 1770: loss 0.4734, 1.079s
step 1780: loss 0.4560, 1.192s
step 1790: loss 0.4646, 1.191s
step 1800: loss 0.4597, 1.082s
step 1810: loss 0.4666, 1.143s
step 1820: loss 0.4712, 0.909s
step 1830: loss 0.4649, 1.004s
step 1840: loss 0.4646, 1.207s
step 1850: loss 0.4647, 1.132s
step 1860: loss 0.4836, 1.062s
step 1870: loss 0.4784, 1.115s
step 1880: loss 0.4679, 1.153s
step 1890: loss 0.4607, 1.152s
step 1900: loss 0.4770, 1.052s
step 1910: loss 0.4682, 1.215s
step 1920: loss 0.4709, 1.036s
step 1930: loss 0.4820, 1.123s
step 1940: loss 0.4627, 1.065s
step 1950: loss 0.4678, 1.165s
step 1960: loss 0.4663, 1.079s
step 1970: loss 0.4670, 1.061s
step 1980: loss 0.4692, 1.100s
step 1990: loss 0.4566, 1.156s
step 2000: loss 0.4649, 1.094s
step 2000: train 0.4539, val 0.4515, accuracy 0.834
step 2010: loss 0.4594, 1.133s
step 2020: loss 0.4667, 1.002s
step 2030: loss 0.4714, 1.050s
step 2040: loss 0.4629, 1.141s
step 2050: loss 0.4503, 1.144s
step 2060: loss 0.4581, 1.019s
step 2070: loss 0.4578, 1.143s
step 2080: loss 0.4542, 1.058s
step 2090: loss 0.4536, 1.012s
step 2100: loss 0.4600, 1.241s
step 2110: loss 0.4553, 1.013s
step 2120: loss 0.4540, 1.142s
step 2130: loss 0.4482, 1.022s
step 2140: loss 0.4437, 1.150s
step 2150: loss 0.4790, 0.905s
step 2160: loss 0.4425, 1.165s
step 2170: loss 0.4646, 1.152s
step 2180: loss 0.4402, 1.102s
step 2190: loss 0.4557, 1.308s
step 2200: loss 0.4509, 1.044s
step 2210: loss 0.4444, 1.202s
step 2220: loss 0.4545, 1.078s
step 2230: loss 0.4567, 1.001s
step 2240: loss 0.4425, 1.078s
step 2250: loss 0.4473, 1.095s
step 2260: loss 0.4375, 1.171s
step 2270: loss 0.4495, 0.961s
step 2280: loss 0.4503, 1.148s
step 2290: loss 0.4578, 0.994s
step 2300: loss 0.4492, 1.125s
step 2310: loss 0.4468, 1.176s
step 2320: loss 0.4413, 1.096s
step 2330: loss 0.4485, 1.048s
step 2340: loss 0.4299, 1.204s
step 2350: loss 0.4403, 1.093s
step 2360: loss 0.4426, 1.215s
step 2370: loss 0.4335, 1.151s
step 2380: loss 0.4501, 1.015s
